68Zn(p,n)68Ga						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
16.5	290.3	18.2	9.52E+03	2.57E+02	7.11E+03	1.55E+04
16.6	281.0	17.6	9.57E+03	2.59E+02	7.15E+03	1.56E+04
16.7	272.1	17.1	9.63E+03	2.60E+02	7.19E+03	1.57E+04
16.8	263.5	16.5	9.68E+03	2.62E+02	7.23E+03	1.58E+04
16.9	255.2	16.0	9.72E+03	2.63E+02	7.27E+03	1.58E+04
17.0	247.2	15.5	9.77E+03	2.64E+02	7.30E+03	1.59E+04
17.1	239.6	16.0	9.82E+03	2.65E+02	7.34E+03	1.60E+04
17.2	232.1	15.5	9.86E+03	2.67E+02	7.37E+03	1.61E+04
17.3	225.0	15.0	9.91E+03	2.68E+02	7.40E+03	1.61E+04
17.4	218.2	14.6	9.95E+03	2.69E+02	7.43E+03	1.62E+04
17.5	211.6	14.1	9.99E+03	2.70E+02	7.47E+03	1.63E+04
17.6	205.2	13.7	1.00E+04	2.71E+02	7.50E+03	1.63E+04
17.7	199.1	13.3	1.01E+04	2.72E+02	7.52E+03	1.64E+04
17.8	193.2	12.9	1.01E+04	2.73E+02	7.55E+03	1.65E+04
17.9	187.6	12.5	1.01E+04	2.74E+02	7.58E+03	1.65E+04
18.0	182.2	12.2	1.02E+04	2.75E+02	7.61E+03	1.66E+04
18.1	176.9	12.8	1.02E+04	2.76E+02	7.64E+03	1.66E+04
18.2	171.9	12.4	1.03E+04	2.77E+02	7.66E+03	1.67E+04
18.3	167.1	12.0	1.03E+04	2.78E+02	7.69E+03	1.67E+04
18.4	162.4	11.7	1.03E+04	2.79E+02	7.71E+03	1.68E+04
18.5	158.0	11.4	1.04E+04	2.80E+02	7.74E+03	1.69E+04
18.6	153.7	11.1	1.04E+04	2.81E+02	7.76E+03	1.69E+04
18.7	149.5	10.8	1.04E+04	2.81E+02	7.78E+03	1.70E+04
18.8	145.5	10.5	1.04E+04	2.82E+02	7.80E+03	1.70E+04
18.9	141.7	10.2	1.05E+04	2.83E+02	7.83E+03	1.71E+04
19.0	138.0	10.0	1.05E+04	2.84E+02	7.85E+03	1.71E+04
19.1	134.5	10.5	1.05E+04	2.85E+02	7.87E+03	1.71E+04
19.2	131.1	10.3	1.06E+04	2.85E+02	7.89E+03	1.72E+04
19.3	127.8	10.0	1.06E+04	2.86E+02	7.91E+03	1.72E+04
19.4	124.7	9.8	1.06E+04	2.87E+02	7.93E+03	1.73E+04
19.5	121.6	9.5	1.06E+04	2.87E+02	7.95E+03	1.73E+04
19.6	118.7	9.3	1.07E+04	2.88E+02	7.97E+03	1.74E+04
19.7	115.9	9.1	1.07E+04	2.89E+02	7.99E+03	1.74E+04
19.8	113.2	8.9	1.07E+04	2.89E+02	8.00E+03	1.74E+04
19.9	110.5	8.7	1.07E+04	2.90E+02	8.02E+03	1.75E+04
20.0	108.0	8.5	1.08E+04	2.91E+02	8.04E+03	1.75E+04
20.1	105.6	9.0	1.08E+04	2.91E+02	8.06E+03	1.76E+04
20.2	103.2	8.8	1.08E+04	2.92E+02	8.07E+03	1.76E+04
20.3	101.0	8.6	1.08E+04	2.93E+02	8.09E+03	1.76E+04
20.4	98.8	8.4	1.08E+04	2.93E+02	8.10E+03	1.77E+04
20.5	96.7	8.2	1.09E+04	2.94E+02	8.12E+03	1.77E+04
20.6	94.7	8.0	1.09E+04	2.94E+02	8.14E+03	1.77E+04
20.7	92.7	7.9	1.09E+04	2.95E+02	8.15E+03	1.78E+04
20.8	90.8	7.7	1.09E+04	2.95E+02	8.17E+03	1.78E+04
20.9	89.0	7.6	1.09E+04	2.96E+02	8.18E+03	1.78E+04
21.0	87.3	7.4	1.10E+04	2.96E+02	8.20E+03	1.79E+04
21.1	85.6	7.9	1.10E+04	2.97E+02	8.21E+03	1.79E+04
21.2	84.0	7.7	1.10E+04	2.97E+02	8.22E+03	1.79E+04
21.3	82.4	7.6	1.10E+04	2.98E+02	8.24E+03	1.79E+04
21.4	80.9	7.4	1.10E+04	2.98E+02	8.25E+03	1.80E+04
21.5	79.4	7.3	1.11E+04	2.99E+02	8.26E+03	1.80E+04
21.6	78.0	7.2	1.11E+04	2.99E+02	8.28E+03	1.80E+04
21.7	76.7	7.0	1.11E+04	3.00E+02	8.29E+03	1.81E+04
21.8	75.3	6.9	1.11E+04	3.00E+02	8.30E+03	1.81E+04
21.9	74.1	6.8	1.11E+04	3.01E+02	8.32E+03	1.81E+04
22.0	72.8	6.7	1.11E+04	3.01E+02	8.33E+03	1.81E+04
22.1	71.7	7.1	1.12E+04	3.02E+02	8.34E+03	1.82E+04
22.2	70.5	7.0	1.12E+04	3.02E+02	8.35E+03	1.82E+04
22.3	69.4	6.9	1.12E+04	3.03E+02	8.37E+03	1.82E+04
22.4	68.3	6.8	1.12E+04	3.03E+02	8.38E+03	1.83E+04
22.5	67.3	6.7	1.12E+04	3.03E+02	8.39E+03	1.83E+04
22.6	66.3	6.6	1.12E+04	3.04E+02	8.40E+03	1.83E+04
22.7	65.3	6.5	1.13E+04	3.04E+02	8.41E+03	1.83E+04
22.8	64.3	6.4	1.13E+04	3.05E+02	8.42E+03	1.84E+04
22.9	63.4	6.3	1.13E+04	3.05E+02	8.44E+03	1.84E+04
23.0	62.5	6.2	1.13E+04	3.06E+02	8.45E+03	1.84E+04
23.1	61.7	6.6	1.13E+04	3.06E+02	8.46E+03	1.84E+04
23.2	60.8	6.5	1.13E+04	3.06E+02	8.47E+03	1.85E+04
23.3	60.0	6.5	1.14E+04	3.07E+02	8.48E+03	1.85E+04
23.4	59.2	6.4	1.14E+04	3.07E+02	8.49E+03	1.85E+04
23.5	58.5	6.3	1.14E+04	3.08E+02	8.50E+03	1.85E+04
23.6	57.8	6.2	1.14E+04	3.08E+02	8.51E+03	1.86E+04
23.7	57.0	6.1	1.14E+04	3.08E+02	8.52E+03	1.86E+04
23.8	56.4	6.1	1.14E+04	3.09E+02	8.53E+03	1.86E+04
23.9	55.7	6.0	1.14E+04	3.09E+02	8.55E+03	1.86E+04
24.0	55.0	5.9	1.15E+04	3.09E+02	8.56E+03	1.86E+04
24.1	54.4	6.4	1.15E+04	3.10E+02	8.57E+03	1.87E+04
24.2	53.8	6.3	1.15E+04	3.10E+02	8.58E+03	1.87E+04
24.3	53.2	6.3	1.15E+04	3.11E+02	8.59E+03	1.87E+04
24.4	52.6	6.2	1.15E+04	3.11E+02	8.60E+03	1.87E+04
24.5	52.1	6.1	1.15E+04	3.11E+02	8.61E+03	1.88E+04
24.6	51.5	6.1	1.15E+04	3.12E+02	8.62E+03	1.88E+04
24.7	51.0	6.0	1.15E+04	3.12E+02	8.63E+03	1.88E+04
24.8	50.5	6.0	1.16E+04	3.12E+02	8.64E+03	1.88E+04
24.9	50.0	5.9	1.16E+04	3.13E+02	8.65E+03	1.88E+04
25.0	49.5	5.8	1.16E+04	3.13E+02	8.65E+03	1.89E+04
25.1	49.0	6.4	1.16E+04	3.13E+02	8.66E+03	1.89E+04
25.2	48.6	6.3	1.16E+04	3.14E+02	8.67E+03	1.89E+04
25.3	48.1	6.3	1.16E+04	3.14E+02	8.68E+03	1.89E+04
25.4	47.7	6.2	1.16E+04	3.14E+02	8.69E+03	1.89E+04
25.5	47.3	6.2	1.16E+04	3.15E+02	8.70E+03	1.90E+04
25.6	46.9	6.1	1.17E+04	3.15E+02	8.71E+03	1.90E+04
25.7	46.5	6.1	1.17E+04	3.15E+02	8.72E+03	1.90E+04
25.8	46.1	6.0	1.17E+04	3.16E+02	8.73E+03	1.90E+04
25.9	45.7	6.0	1.17E+04	3.16E+02	8.74E+03	1.90E+04
26.0	45.3	5.9	1.17E+04	3.16E+02	8.75E+03	1.91E+04
26.1	45.0	6.5	1.17E+04	3.17E+02	8.75E+03	1.91E+04
26.2	44.6	6.5	1.17E+04	3.17E+02	8.76E+03	1.91E+04
26.3	44.3	6.4	1.17E+04	3.17E+02	8.77E+03	1.91E+04
26.4	43.9	6.4	1.18E+04	3.18E+02	8.78E+03	1.91E+04
26.5	43.6	6.3	1.18E+04	3.18E+02	8.79E+03	1.92E+04
26.6	43.3	6.3	1.18E+04	3.18E+02	8.80E+03	1.92E+04
26.7	43.0	6.2	1.18E+04	3.19E+02	8.81E+03	1.92E+04
26.8	42.7	6.2	1.18E+04	3.19E+02	8.82E+03	1.92E+04
26.9	42.4	6.2	1.18E+04	3.19E+02	8.82E+03	1.92E+04
27.0	42.1	6.1	1.18E+04	3.19E+02	8.83E+03	1.92E+04
27.1	41.8	6.7	1.18E+04	3.20E+02	8.84E+03	1.93E+04
27.2	41.6	6.7	1.18E+04	3.20E+02	8.85E+03	1.93E+04
27.3	41.3	6.7	1.19E+04	3.20E+02	8.86E+03	1.93E+04
27.4	41.0	6.6	1.19E+04	3.21E+02	8.87E+03	1.93E+04
27.5	40.8	6.6	1.19E+04	3.21E+02	8.87E+03	1.93E+04
27.6	40.5	6.5	1.19E+04	3.21E+02	8.88E+03	1.94E+04
27.7	40.3	6.5	1.19E+04	3.22E+02	8.89E+03	1.94E+04
27.8	40.1	6.5	1.19E+04	3.22E+02	8.90E+03	1.94E+04
27.9	39.8	6.4	1.19E+04	3.22E+02	8.91E+03	1.94E+04
28.0	39.6	6.4	1.19E+04	3.23E+02	8.92E+03	1.94E+04
28.1	39.4	7.0	1.19E+04	3.23E+02	8.93E+03	1.94E+04
28.2	39.2	7.0	1.20E+04	3.23E+02	8.93E+03	1.95E+04
28.3	39.0	6.9	1.20E+04	3.23E+02	8.94E+03	1.95E+04
28.4	38.8	6.9	1.20E+04	3.24E+02	8.95E+03	1.95E+04
28.5	38.6	6.8	1.20E+04	3.24E+02	8.96E+03	1.95E+04
28.6	38.4	6.8	1.20E+04	3.24E+02	8.97E+03	1.95E+04
28.7	38.2	6.8	1.20E+04	3.25E+02	8.97E+03	1.96E+04
28.8	38.0	6.7	1.20E+04	3.25E+02	8.98E+03	1.96E+04
28.9	37.8	6.7	1.20E+04	3.25E+02	8.99E+03	1.96E+04
29.0	37.6	6.7	1.20E+04	3.26E+02	9.00E+03	1.96E+04
29.1	37.5	7.2	1.21E+04	3.26E+02	9.01E+03	1.96E+04
29.2	37.3	7.2	1.21E+04	3.26E+02	9.02E+03	1.96E+04
29.3	37.1	7.2	1.21E+04	3.26E+02	9.02E+03	1.97E+04
29.4	36.9	7.1	1.21E+04	3.27E+02	9.03E+03	1.97E+04
29.5	36.8	7.1	1.21E+04	3.27E+02	9.04E+03	1.97E+04
29.6	36.6	7.1	1.21E+04	3.27E+02	9.05E+03	1.97E+04
29.7	36.5	7.0	1.21E+04	3.28E+02	9.06E+03	1.97E+04
29.8	36.3	7.0	1.21E+04	3.28E+02	9.06E+03	1.98E+04
29.9	36.2	7.0	1.21E+04	3.28E+02	9.07E+03	1.98E+04
30.0	36.0	7.0	1.22E+04	3.28E+02	9.08E+03	1.98E+04
30.1	35.9	8.3	1.22E+04	3.29E+02	9.09E+03	1.98E+04
30.2	35.7	8.3	1.22E+04	3.29E+02	9.10E+03	1.98E+04
30.3	35.6	8.3	1.22E+04	3.29E+02	9.10E+03	1.98E+04
30.4	35.5	8.2	1.22E+04	3.30E+02	9.11E+03	1.99E+04
30.5	35.3	8.2	1.22E+04	3.30E+02	9.12E+03	1.99E+04
30.6	35.2	8.2	1.22E+04	3.30E+02	9.13E+03	1.99E+04
30.7	35.1	8.1	1.22E+04	3.30E+02	9.14E+03	1.99E+04
30.8	34.9	8.1	1.22E+04	3.31E+02	9.14E+03	1.99E+04
30.9	34.8	8.1	1.22E+04	3.31E+02	9.15E+03	1.99E+04
31.0	34.7	8.1	1.23E+04	3.31E+02	9.16E+03	2.00E+04
31.1	34.6	8.0	1.23E+04	3.32E+02	9.17E+03	2.00E+04
31.2	34.4	8.0	1.23E+04	3.32E+02	9.18E+03	2.00E+04
31.3	34.3	8.0	1.23E+04	3.32E+02	9.18E+03	2.00E+04
31.4	34.2	7.9	1.23E+04	3.32E+02	9.19E+03	2.00E+04
31.5	34.1	7.9	1.23E+04	3.33E+02	9.20E+03	2.00E+04
31.6	34.0	7.9	1.23E+04	3.33E+02	9.21E+03	2.01E+04
31.7	33.9	7.9	1.23E+04	3.33E+02	9.21E+03	2.01E+04
31.8	33.8	7.8	1.23E+04	3.34E+02	9.22E+03	2.01E+04
31.9	33.6	7.8	1.24E+04	3.34E+02	9.23E+03	2.01E+04
32.0	33.5	7.8	1.24E+04	3.34E+02	9.24E+03	2.01E+04
32.1	33.4	7.8	1.24E+04	3.34E+02	9.25E+03	2.01E+04
32.2	33.3	7.7	1.24E+04	3.35E+02	9.25E+03	2.02E+04
32.3	33.2	7.7	1.24E+04	3.35E+02	9.26E+03	2.02E+04
32.4	33.1	7.7	1.24E+04	3.35E+02	9.27E+03	2.02E+04
32.5	33.0	7.7	1.24E+04	3.36E+02	9.28E+03	2.02E+04
32.6	32.9	7.7	1.24E+04	3.36E+02	9.28E+03	2.02E+04
32.7	32.9	7.6	1.24E+04	3.36E+02	9.29E+03	2.02E+04
32.8	32.8	7.6	1.24E+04	3.36E+02	9.30E+03	2.03E+04
32.9	32.7	7.6	1.25E+04	3.37E+02	9.31E+03	2.03E+04
33.0	32.6	7.6	1.25E+04	3.37E+02	9.31E+03	2.03E+04
33.1	32.5	7.6	1.25E+04	3.37E+02	9.32E+03	2.03E+04
33.2	32.4	7.5	1.25E+04	3.37E+02	9.33E+03	2.03E+04
33.3	32.3	7.5	1.25E+04	3.38E+02	9.34E+03	2.03E+04
33.4	32.2	7.5	1.25E+04	3.38E+02	9.35E+03	2.04E+04
33.5	32.2	7.5	1.25E+04	3.38E+02	9.35E+03	2.04E+04
33.6	32.1	7.5	1.25E+04	3.39E+02	9.36E+03	2.04E+04
33.7	32.0	7.4	1.25E+04	3.39E+02	9.37E+03	2.04E+04
33.8	31.9	7.4	1.25E+04	3.39E+02	9.38E+03	2.04E+04
33.9	31.8	7.4	1.26E+04	3.39E+02	9.38E+03	2.04E+04
34.0	31.8	7.4	1.26E+04	3.40E+02	9.39E+03	2.05E+04
34.1	31.7	7.4	1.26E+04	3.40E+02	9.40E+03	2.05E+04
34.2	31.6	7.3	1.26E+04	3.40E+02	9.41E+03	2.05E+04
34.3	31.5	7.3	1.26E+04	3.41E+02	9.41E+03	2.05E+04
34.4	31.5	7.3	1.26E+04	3.41E+02	9.42E+03	2.05E+04
34.5	31.4	7.3	1.26E+04	3.41E+02	9.43E+03	2.05E+04
34.6	31.3	7.3	1.26E+04	3.41E+02	9.44E+03	2.06E+04
34.7	31.3	7.3	1.26E+04	3.42E+02	9.45E+03	2.06E+04
34.8	31.2	7.2	1.27E+04	3.42E+02	9.45E+03	2.06E+04
34.9	31.1	7.2	1.27E+04	3.42E+02	9.46E+03	2.06E+04
35.0	31.1	7.2	1.27E+04	3.42E+02	9.47E+03	2.06E+04
