Energy	68Ga	68GaSaturation	67Ga	67GaSaturation	67Ga1	67GaSaturation1	66Ga	66GaSaturation	Range
	p,n		p,n		p,2n		p,n		
MeV	mb	MBq/uA	mb	MBq/uA	mb	MBq/uA	mb	MBq/uA	um
18.6	153.7	16906.27	140.3	11981.27	693.9	7361.89	182.7	11834.78435	915.6624176
18.7	149.5	16956.38	137.9	12026.04	697.5	7584.95	178.9	11894.71846	924.3602862
18.8	145.5	17005.32	135.7	12070.29	700.9	7810.18	175.1	11953.61073	933.1136211
18.9	141.7	17053.15	133.5	12113.98	704.0	8037.26	171.5	12011.47828	941.9224224
19.0	138.0	17099.91	131.4	12157.09	706.9	8265.83	167.9	12068.33782	950.78669
19.1	134.5	17145.62	129.4	12199.80	709.5	8496.65	164.4	12124.20574	959.6816239
19.2	131.1	17190.32	127.4	12242.03	711.9	8729.09	161.0	12179.09814	968.5824238
19.3	127.8	17234.05	125.6	12283.78	714.0	8963.07	157.6	12233.03091	977.4890897
19.4	124.7	17276.83	123.7	12325.09	715.8	9198.48	154.4	12286.0197	986.4016217
19.5	121.6	17318.70	122.0	12366.00	717.4	9435.55	151.2	12338.0799	995.3200197
19.6	118.7	17359.70	120.3	12406.49	718.8	9673.93	148.1	12389.22659	1004.244284
19.7	115.9	17399.84	118.6	12446.51	720.0	9913.28	145.0	12439.47458	1013.174414
19.8	113.2	17439.16	117.0	12486.20	721.1	10154.40	142.1	12488.83835	1022.11041
19.9	110.5	17477.68	115.4	12525.45	722.0	10396.40	139.2	12537.33206	1031.052272
20.0	108.0	17515.44	113.8	12564.33	722.7	10639.79	136.3	12584.96951	1040
20.1	105.6	17552.44	112.2	12602.80	723.3	10884.23	133.5	12631.76557	1048.953594
20.2	103.2	17588.73	110.6	12640.85	723.7	11129.65	130.8	12677.7402	1057.913054
20.3	101.0	17624.33	109.0	12678.49	723.8	11375.98	128.1	12722.91414	1066.878381
20.4	98.8	17659.27	107.4	12715.76	723.8	11623.46	125.5	12767.30758	1075.849573
20.5	96.7	17693.58	105.8	12752.52	723.6	11871.15	123.0	12810.94009	1084.826631
20.6	94.7	17727.27	104.3	12788.95	723.2	12120.13	120.5	12853.83067	1093.809555
20.7	92.7	17760.39	102.7	12824.96	722.7	12369.78	118.1	12895.99774	1102.798346
20.8	90.8	17792.95	101.2	12860.57	721.9	12620.03	115.7	12937.45918	1111.793002
20.9	89.0	17824.97	99.7	12895.80	721.1	12871.12	113.3	12978.23228	1120.793524
21.0	87.3	17856.49	98.3	12930.61	720.1	13122.43	111.0	13018.33383	1129.799913
21.1	85.6	17887.51	96.9	12965.08	718.9	13374.46	108.8	13057.78002	1138.812167
21.2	84.0	17918.07	95.5	12999.22	717.6	13627.18	106.6	13096.58655	1147.830288
21.3	82.4	17948.17	94.2	13032.93	716.2	13879.67	104.5	13134.76856	1156.861315
21.4	80.9	17977.85	92.9	13066.34	714.6	14132.76	102.4	13172.34068	1165.947492
21.5	79.4	18007.12	91.7	13099.45	713.0	14386.38	100.3	13209.31698	1175.095859
21.6	78.0	18035.99	90.5	13132.24	711.3	14640.23	98.3	13245.71106	1184.306416
21.7	76.7	18064.49	89.4	13164.71	709.4	14894.26	96.4	13281.53596	1193.579164
21.8	75.3	18092.63	88.2	13196.88	707.5	15148.44	94.4	13316.80423	1202.914103
21.9	74.1	18120.42	87.1	13229.96	705.5	15412.48	92.5	13351.5279	1212.311231
22.0	72.8	18147.88	86.0	13260.36	703.4	15657.40	90.7	13385.71846	1221.77055
22.1	71.7	18175.03	84.9	13291.62	701.2	15911.81	88.9	13419.38698	1231.292059
22.2	70.5	18201.87	83.8	13323.84	698.9	16176.44	87.1	13452.54418	1240.875759
